biographical_information,borough,category,enactment_year,introduced_by_council_members,limits,new_name,present_name,zip_code,objectid,intro_number,paths
"Andrew Sandler served as district manager for Community Board 7 in the Bronx.  His experience handling landlord-tenant cases, transportation issues and other quality of life issues landed him a job as the director of community affairs under former Councilmember Oliver Koppell and his successor, Councilmember Andrew Cohen.  He oversaw many capital investment projects at Mosholu Parkway including Councilmember Koppell’s $100,000 funding of the energy efficient metal halide light system for the Bronx Victory WWI Memorial implemented under Councilmember Cohen and also Harris Field’s surface remediation, Williamsbridge Oval Park’s renovation and Whalen Park’s reconstruction. ",Bronx,Intersection,1500739200000.0,Cohen ,At the intersection of Waldo Avenue and West 238th Street ,Andrew Sandler Way ,,10463.0,7538.0,Int. No. 1744,"40.887083569000026,-73.90418929699996"
This co-naming will commemorate Our Lady of Angels’ more than 125 years of educational service to the Bay Ridge community. ,Brooklyn,Intersection,1500739200000.0,Gentile ,At the southwest corner of 4th Avenue and 73rd Street ,Our Lady of Angels Way ,,11209.0,7539.0,Int. No. 1613,"40.632153983000066,-74.02452802899995"
"Charles Lucania was killed in the terrorist attacks on September 11, 2001.  He was on the 98th floor of the South Tower working for P.E. Stone.  ",Queens,Intersection,1468598400000.0,Vallone,At the northwest corner of 149th Street and Willets Point Boulevard ,Charles Lucania Memorial Way ,,11357.0,7540.0,Int. No. 1054,"40.77647772500006,-73.81772920199995"
"Gaetano Vincent Mangano was very active in the Eltingville community for over 50 years. He served on Community Board #4, served as President of the Memphis Avenue Civic Association and was elected as National Vice President of the American Postal Workers Union. Mangano was named by his neighbors as the “Mayor of Memphis Avenue.” ",Staten Island,Intersection,1156003200000.0,Lanza,On the Corner of Wainwright Street and Memphis Avenue , Gaetano Vincent Mangano Street   ,,10312.0,7541.0,Int. No. 457		,"40.54895280500005,-74.16949002699994"
"David Mixner was an activist, author and anti-war and gay rights advocate. He participated in political campaigns, including Harvey Milk, the first openly gay man elected in California when he was voted to the San Francisco Board of Supervisors in 1978. He served as campaign manager for the 1977 re-election bid of Los Angeles’ first Black mayor, Tom Bradley and later convinced then-Republican California Governor Ronald Reagan to oppose Prop 6, also known as the Briggs Initiative, which would’ve barred LGBTQ+ teachers from teaching in California public schools in 1978. He helped co-found the LGBTQ+ political organization that worked to elect openly LGBTQ+ candidates to office. He launched the LGBTQ+ Victory Fund’s Presidential Appointments Program, which pushed President Bill Clinton and future Administrations to appoint more LGBTQ+ people to key political positions. In the 1970’s, he co-founded the Municipal Elections Committee of Los Angeles, the first gay and lesbian political action committee in the United States. In 2009, he organized the National Equality March in Washington, DC, which drew tens of thousands of LGBTQ+ activists and supporters onto the Mall in Washington DC. ",Manhattan,Intersection,1722960000000.0,Bottcher, At the intersection of 47th Street and 8th Avenue , Mixner’s Corner   ,,10019.0,7542.0,Int. No. 968			,"40.76040803500007,-73.98747934699996"
"Paul Vallone was a New York City Council Member representing District 19 in northeast Queens and served as Chair of the Committee on Economic Development. He served as the managing partner for Vallone & Vallone, LLP and was admitted to the New York and New Jersey Bar Associations since 1992. During his tenure at the City Council, he focused on prioritizing the needs of District 19 by working together with elected officials, schools, sports groups, non-profits and every civic and cultural association. He created an ambassador program for high school students, improved the safety of residents by securing an enormous increase in officers and bringing the community policing program to the 109th Precinct, allocated over $7 million for local schools, almost $4 million for local libraries and over $12 million for local parks and cofounded annual events such as the Children’s Holiday Parade in Bayside and Independence Day Fireworks in Fort Totten. He re-established the City Council CUNY Merit Based Scholarship (formerly known as the Peter F. Vallone Scholarship), securing over $10 million in funding in the City budget for full service animal shelters in Queens and the Bronx, increased funding, programs and services for seniors through advocacy and creating the Support our Seniors initiative, and made history by creating the first city agency for veterans, the Department of Veterans’ Services. He served on numerous citywide boards and organizations dedicated to community service, was president of the Clinton Democratic Club, president and founding member of the Bayside-Whitestone Lions Club and also served as a board member of Community Board 7 and board member to the New York City Board of Corrections. He established local annual scholarships, totaling over $25,000.00, through the Bayside-Whitestone Lions Club for High School Seniors throughout northeast Queens. He also served as Deputy Commissioner of the NYC Department of Veterans’ Services. ",Queens,Intersection,1723046400000.0,Paladino, At the intersection of 157th Street and 32nd Avenue , Paul A. Vallone Way     ,,11354.0,7543.0,Int. No. 968			,"40.76969299300005,-73.80742677899995"
"John Capitano was born on Staten Island on December 9, 1944. He graduated from St. Peter’s High School and completed a Bachelor’s Degree at Georgetown University. After college, John entered the Pallotine Seminary and completed his Masters Degree in Theology. Mr. Capitano then moved to Indiana where he left the Order and married. He soon returned to settle on Staten Island and began a career with the New York State Department of Labor at a Lower Manhattan office. He was transferred to the Staten Island office and worked his way up the ladder from claims examiner to supervisor to manager. John Capitano passed away on January 23, 2004. He was survived by two sons; John Jr, and Vincent. ",Staten Island,Intersection,1092585600000.0,Oddo,the intersection of Hylan Boulevard and Mallory Avenue ,John Capitano Place ,,10305.0,7544.0,Int. No. 471-A,"40.59854142500006,-74.08068180199996"
"Elizabeth Stanton was a legal receptionist, homemaker and a dedicated member of her community in Staten Island.  She lived in the Richmond Terrace Houses where she was president of the tenants’ association for 20 years, as well as president of the New York City Housing Authority Staten Island Council of Presidents for several years.  She was a dedicated foster parent and a Boy Scout troop leader.  She was also awarded a Lifetime Achievement Award by State Sen. Diane Savino for contributing to her community of New Brighton. ",Staten Island,Intersection,1249228800000.0,Mitchell ,At the intersection of Richmond Terrace and Jersey Street ,Elizabeth Stanton Way ,,10301.0,7545.0,Int. No. 1103-A,"40.64664700600009,-74.08894496699997"
"Evangelist Josephine Gooding was born in Athens, Georgia. She later moved to Brooklyn, New York. She was a faithful member of the Historic First Church of God In Christ under the pastorate of Bishop Frank Clemmons at 1745 Pacific St., Brooklyn, N.Y.  It was there that she began her ministry, first on the Jr. Choir, the Jr. Ushers, then serving on the Deaconess Board where she accepted her call to the Word Ministry. It was then she received her COGIC Evangelist License at the young age of 16, at the recommendation of Bishop Clemmons to State Supervisor Mother Payton and Jurisdictional Bishop O.M. Kelly. On June 1, 1969, Elder Ceacer and Evangelist Josephine Gooding began their ministry for the Lord, founding the Miracle Reviva l Center, later renamed Miracle Revival Temple, where she served as Co-pastor with her husband for 40 years. For over 20 years, she was the weekly voice of Miracle Revival Temple's radio broadcast as she narrated and introduced the Bishop every Sunday night.  During her service at Miracle Revival Temple, she was the Tuesday Night Bible Study Instructor, President of the Women’s Department and also the Director of Vacation Bible School. She served as the Shepherd Mother of Fellowship Tabernacle Ministries COGIC and was the annual Women's Day speaker at Fellowship for 22 years.  She was a member of the Ministers Wives and Widows Association where she served on the Local, State and International levels beginning in 1978. During her time, she served as the President's Aide for the International President Dr. Muriel Johnson-Providence and in the Dean’s Office. She served on the New York State level as the financial and corresponding secretary, and as a member of the Church of God In Christ Minister's Wives Association, she chaired the Problem Clinic under the leadership of the late Mother Bessie Kelly. She was a member of C.H.I.P.S. (Chaplains Helping In Police Situations), she served as a founding member of the Clergy Coalition of the 44th Precinct and was a teacher at P.S. 291 in the Bronx for many years until her retirement on July l, 1997.",Bronx,Intersection,1719504000000.0,Stevens,At the intersection of Macombs Road and West Mount Eden Avenue,Evangelist Josephine Gooding Place,,10452.0,7546.0,Int. No. 1278,"40.84496094800005,-73.91724375699994"
"Joe Femenia revived and served as president of the College Point Civic and Taxpayers Association since 2008. He was also a board member on Community Board 7 and the board’s Transportation Committee Chairperson from 2006 until 2016. He advocated for building a public middle school in College Point successfully and advocated for the NYPD to remove illegally parked commercial trucks in the neighborhood and also successfully advocated for the city to fund the reconstruction of the College Point Fields. Before the opening of the new public middle school in College Point, students had to be bused out to schools in Whitestone and Flushing. He joined the Masonic in 1980. ",Queens,Intersection,1562342400000.0,Vallone ,At the intersection of 130th Street and 23rd Avenue ,Joe Femenia Way ,,11356.0,7547.0, Int. No.  1631,"40.778618962000046,-73.83885923499996"
"Shirley Chisholm was an outstanding teacher and leader in the community who was elected to the New York State Assembly and then became the first African-American woman elected to the United States House of Representatives.  She championed the rights of minorities, women and veterans during her numerous terms in the State Assembly and Congress. ",Brooklyn,Intersection,1217606400000.0,Vann,  At the southwest corner of Park Place and Kingston Avenue , Shirley Chisholm Place   ,,11213.0,7548.0,Int. No. 877-A		,"40.67290380700006,-73.94196418699993"
Jimmy O’ Hanlon was a former Marine and Port Authority Police Officer who was a member of Team Romeo at Ground Zero rescue and recovery operations.  He also volunteered for local political organizations and charities. ,Staten Island,Intersection,1248969600000.0,Mitchell,At the intersection of Harvest Avenue and North Burgher Avenue ,Jimmy O’ Hanlon Way,,10310.0,7549.0,Int. No. 1033,"40.62716800700009,-74.11292500499997"
"Monsignor Dorney was ordained a priest in 1958, and served in the Bronx and Manhattan before he came to Staten Island in 1976. He served as assistant pastor of St. Margaret Mary R.C. Church in Midland Beach until 1983, when he was assigned as pastor of St. Peter's where he served for the remainder of his life.  He was elevated to monsignor in 1995 by Pope John Paul II.  He served as chaplain to the U.S. Coast Guard, the New York Police Department, the Ancient Order of Hibernians, the Knights of Columbus and the Richmond Division Holy Name Society.  He was a trustee emeritus of Richmond University Medical Center and a board member emeritus of Project Hospitality.  He also was a member of the Ancient Order of Hibernians and an honorary member of the Notre Dame Club of Staten Island.  He took part in the annual Unity Night service that brings together Staten Island's Christians and he was there at most ecumenical and interfaith events.  Most recently he took part in the September 11 ""Eve of Solemn Remembrance"" service honoring victims of the World Trade Center attacks.  As pastor of St. Peter's he believed in opening the church to the community. A strong supporter of the arts, he often invited music, drama and arts organizations to perform there.  In 2008, he marked his 50th anniversary in the priesthood, where he was honored at a round of celebrations.  ",Staten Island,Intersection,1531670400000.0,Rose ,At the northeast corner of Carroll Place and St. Peter’s Place ,Monsignor James J. Dorney Way ,,10301.0,7550.0,Int. No. 988,"40.647522339000034,-74.08465695299998"
"Norman Rockwell was an American illustrator and painter who was born at 206 West 103rd Street.  He painted his first commission of four Christmas cards before his sixteenth birthday and was hired as art director of Boys’ Life, the official publication of the Boy Scouts of America, and began a successful freelance career illustrating a variety of young people’s publications.  He moved to New Rochelle, New York, and set up a studio with the cartoonist Clyde Forsythe and produced work for such magazines as Life, Literary Digest, and Country Gentleman.  In 1916, he painted his first cover for The Saturday Evening Post, the magazine considered by Rockwell to be the “greatest show window in America.” Over the next 47 years, another 321 Rockwell covers would appear on the cover of the Post.  Rockwell’s reflected small-town American life.  In 1943, inspired by President Franklin Roosevelt’s address to Congress, Rockwell painted the Four Freedoms paintings. They were reproduced in four consecutive issues of The Saturday Evening Post with essays by contemporary writers.  His interpretations of Freedom of Speech, Freedom to Worship, Freedom from Want, and Freedom from Fear proved to be enormously popular. The works toured the United States in an exhibition that was jointly sponsored by the Post and the U.S. Treasury Department and, through the sale of war bonds, raised more than $130 million for the war effort.  During his 10-year association with Look magazine, he painted pictures illustrating some of his deepest concerns and interests, including civil rights, America’s war on poverty, and the exploration of space.  In 1973, Rockwell established a trust to preserve his artistic legacy by placing his works in the custodianship of the Old Corner House Stockbridge Historical Society, later to become Norman Rockwell Museum at Stockbridge. The trust now forms the core of the Museum’s permanent collections. In 1977, Rockwell received the nation’s highest civilian honor, the Presidential Medal. ",Manhattan,Intersection,1468598400000.0,Levine,At the intersection of 103rd Street and Broadway ,Norman Rockwell Place ,,10025.0,7551.0,Int. No. 1054,"40.79904966600002,-73.96844742499995"
"Joseph Russo was a business owner who was born and raised in Spinoso, Italy, where he went to school to be a mechanic.  He immigrated to the United States in 1961 with a vision of becoming a successful entrepreneur.  He worked for service stations for 10 years, and by 1971 was able to open his first business on Staten Island.  He later opened many businesses, including a used car lot in the late 1970s, and a pizzeria and ice cream shop in 1981, a Hertz Penske Trucking company and a limousine company in the 1980s.  In 1997 he opened an Italian restaurant, New York, New York, in Virginia Beach.  He donated $10,000 to Food for Guns, to be used for supermarket gift certificates in the effort to buy back guns and get them off the streets.  He worked with the 120th Precinct Community Council for Children’s Christmas, he received the Quality of Life Awards and Outstanding Community Service Awards from the community council, he gave out turkey dinners at Thanksgiving to over 50 families, he donated 1,000 lbs of pasta to Project Hospitality, donated equipment to the McKee Vocational Program, donated to NYPD Widows and Orphan Fund, received awards and letters of recognition from elected officials and he supported Vietnam Veterans Toy Run and Rolling Thunder Events.",Staten Island,Intersection,1469203200000.0,Rose,At the northeast corner of Clove Road and Cary Avenue underneath the Cary Avenue street sign ,Joseph Russo Way ,,10310.0,7552.0,Int. No. 1227,"40.63178147900004,-74.12485446499994"
"Victor José Victor Rojas was born in Santiago de los Caballeros. His professional life began in 1972, with the authorship of La Casita (The Little House), which he sang with Wilfrido Vargas. This piece became such a great success that it inspired the budding author to launch his career as a performer and composer, work that kept him busy for the rest of his life. In the 1970s, his dissatisfaction with domestic politics and economic policies in the Dominican Republic, added to increasing international turmoil, inspired him to write songs with social and political content as his aesthetic compass. Mr. Víctor also took part in the movement opposed to the Dominican dictator Rafael Trujillo, and he began to write protest songs. As a young man he traveled the country as part of youth groups protesting the government while receiving an education in local rhythms. Between 1973 and 1978, he founded and led the group Nueva Fortuna, with which he traveled all over the country. In 1978, he created the group Flamboyán, through which he projected his music as a sample of rhythmic intermixing. For five years he shared the stage with the most important figures of the Latin American song and performed in Puerto Rico, Venezuela, Cuba, the United States and Italy. Victor Victor studied the musical roots of merengue and bachata, recreated the genre and enriched it. Successes such as “Mesita de noche”, “Ando buscando un amor” y “Así es mi amor” were made with simplicity and beautiful metaphors and have been performed by leading Dominican and foreign vocalists. In 1990, he released his fourth album, entitled “Un chin de veneno”, which was an international success. It succesfully fuses Caribbean rhythms in a new style. Victor Victor has to his credit the long-running albums entitled “Álbum rojo”, “Flamboyan”, “Con sus flores y sus vainas”, “Cotidiano”, “Artistas por la paz”, “Inspiraciones”, “Tu corazón” y “Alma de Barrio”. In 2007, he recorded the social-themed album “Verde y negro” as a tribute to the freedom fighters of the Dominican Republic. Victor died of COVID-19 at a hospital in Santo Domingo at age 71. The artist was awarded the Awards: Premios A Lo Nuestro, Aplauso 92, Ronda, ACE, Aplauso 98, ASCAP and ONDA. Victor Victor remains a beloved and influential artist for hundreds of thousands of Dominicans in New York City. ",Manhattan,Intersection,1626537600000.0,Rodriguez,At the intersection of 176th Street and Fort Washington Avenue ,Victor Victor Way ,,10033.0,7553.0,Int. No. 2187,"40.84720298200005,-73.93978003099994"
William Tropea was a part of the 9/11 rescue effort at the World Trade Center.  He had to retire from the FDNY as a result of health problems many believed were a direct result of working at Ground Zero after the attacks. ,Brooklyn,Intersection,1375200000000.0,"Recchia, Jr.",At the northwest corner of West 11th Street and Highlawn Avenue , Firefighter William Tropea Way   ,,11223.0,7554.0,Int. No. 1188-A		,"40.60295311900007,-73.98352996199998"
"Edgar Moya was a dedicated member of his community. Originally from Ecuador, he moved to the United States and was later drafted into the Army and served in combat in Nha Trang, Vietnam, from 1965 to 1966. He was honorably discharged as a Private First Class. He attended the City University of New York (CUNY), while working two jobs to support himself. He began as a clerk at a bank on Wall Street and sold shoes at night at Alexander’s, a department store on Main Street in Flushing. Although he did not achieve his initial goal of earning a degree in architecture, he graduated from CUNY with honors and embarked on a successful career in finance. He served as president of the Lions Club Sur American and member of the Corona Lions Club. He was a founding member of The Corona Gardens Neighborhood Association, where he helped secure grant money for beautification projects and organized neighborhood clean ups. He was awarded the Molly Parnis “Dress Up Your Neighborhood” Award, which is given to grassroots community groups in economically under-resourced neighborhoods to support beautification projects that bring neighbors together. He was appointed to the Elmhurst Hospital Advisory Board, which represents the different interests of the community and informs the hospital of any new ways to meet the community’s changing needs, serving as a vital link between Elmhurst Hospital and the communities it serves. In April 2016, the strongest earthquake to hit Ecuador since 1979 struck the coastal region, with its impact felt hundreds of miles inland. Following the catastrophic event, Edgar Moya helped organize relief efforts for those severely impacted. As a result, he was honored by the Lions Club as Lion of the Year, which is presented to the member who best exemplifies the principles of the club within the community. In celebration of Hispanic Heritage Month, and in recognition of his military service and dedicated community efforts, Congressman Joseph Crowley of the 14th Congressional District appointed him to the Veterans Advisory Board and honored him with a Congressional Proclamation for Hispanic Heritage Month. He was also honored by Queens Borough President Melinda Katz for his outstanding contributions to the Queens Community.  ",Queens,Intersection,1723046400000.0,Moya,At the intersection of 102nd Street and 46th Avenue , Edgar Moya Way   ,,11368.0,7555.0,Int. No. 968			,"40.745727010000046,-73.86210904199999"
"Fred J. Mazzarello was 82 at the time of his death.  Mr. Mazzarello was a long time community activist and founded the College Point Board of Trade in 1969, and served as its President for many years.  He also served as Chairman of the College Point Memorial Day parade for over a decade. ",Queens,Intersection,1217606400000.0,Avella,At the intersection of 14th Road and College Point Boulevard , Fred J. Mazzarello Way   ,,11356.0,7556.0,Int. No. 825			,"40.784881861000024,-73.84579609799992"
"The African Jazz Art Society and Studio (AJASS) was formed in 1956 in the South Bronx at 751 Kelly Street, by a group of young African-American artists, designers, musicians, hairdressers, writers and jazz enthusiasts.  AJASS was influenced by Dominican born Carlos A. Cooks, leader of the African Nationalist Pioneer Movement (ANPM), which developed out of Jamaican born Marcus Garvey’s UNIA. AJASS produced jazz concerts, arranged art exhibits and curated cultural events.  The concerts featured many local artists that later become renowned, such as Lou Donaldson, Jackie McLean, Gigi Gryce, Eddie Palmieri, Betty Carter and many others. Notable jazz musicians, Max Roach and Abbey Lincoln were both members of AJASS. The group’s contributions have been featured in museums throughout the United States.  There have also been several books and documentaries that chronical the history of AJASS.  The organization started a global movement from the Black is Beautiful slogan, which evolved into a movement beginning in 1962, featuring the Grandassa Models as a component of AJASS.  ",Bronx,Intersection,1688832000000.0,Salamanca,At the intersection of Kelly Street and Longwood Avenue,African Jazz Art Society & Studio Way,,10455.0,7557.0,Int. No. 1102-A,"40.81766518400008,-73.89854427299996"
"James Marshall Sr. was a native Staten Islander. He grew up in Dongan Hills and graduated from New Dorp High School. He later moved to Annadale in 1981. He served in the United States Navy after completing high school and was stationed aboard the USS Enterprise in Newport News, Virginia. He went on to become a firefighter in the New York City Fire Department in 1979, following his time in the Navy. He was a member of Engine Co. 253 in Brooklyn, then Engine Co. 166 in Graniteville, and later retired from Ladder Co. 78 in Tompkinsville completing 23 years of life-saving work. He was one of many first responders who went to the site of the World Trade Center following the terrorist attacks on 9/11. Responding to the ruins of the Twin Towers was a noble duty, but one that has led to his untimely death. He passed away on November 30, 2014 due to a 9/11 related cancer. He was later honored and remembered for his service at the World Trade Center Memorial Wall at FDNY headquarters in Brooklyn in 2015. ",Staten Island,Intersection,1660579200000.0,Borelli,At the intersection of Strawberry Lane at Mayberry Promenade ,Firefighter James J. Marshall Sr. Lane ,,10312.0,7558.0, Int. No. 2477	,"40.52947328000004,-74.15801402799997"
