biographical_information,borough,category,enactment_year,introduced_by_council_members,limits,new_name,present_name,zip_code,objectid,intro_number,notes,paths
"Edmond J.  Safra was born in Beirut, Lebanon, the third of the eight children of Esther and Jacob Safra.  Jacob Safra was the proprietor of Banque de Credit National, successor to the business of Safra Freres, a merchant banking business that originated about 1840 in the Ottoman Empire. 

In 1948 Edmond was sent, along with an experienced banker, to Italy to consider diversification opportunities for the family.  The post war atmosphere was filled with opportunities for an energetic, entrepreneurial banker and Edmond created a precious metals trading business, the first of what was to become a long string of financial and banking successes. 

In 1952 Edmond was encouraged by his father to explore opportunities in the New World.  Having visited North and South America he decided to open a business in Rio de Janeiro, Brazil.  Within a few years progress was so substantial that Edmund persuaded his father to move the rest of the family to Brazil.  The Brazilian business evolved into Banco Safra, which is now Brazil's fifth largest bank.  Today, Edmond’s two younger brothers privately own it. 

In 1956 Edmond opened the predecessor to Trade Development Bank in Geneva, Switzerland.  He wanted to meet the international financial and banking needs of middle eastern families which, like his own were moving from that troubled region. In 1983 Trade Development Bank was sold to the American Express Company for $550 million. 

In the early 1960's Edmond decided to complete the South American European banking triangle and applied for a national banking charter in New York City.  The charter was granted and Republic National Bank of New York was opened in January, 1996.  Its initial capital, which was slightly more than $10 million, was at the time the largest initial capitalization of a new bank in the history of the United States.  The ribbon was cut by Robert Kennedy.  Edmond never forgot that Robert Kennedy helped him, and after Bobby's tragic death Edmond created The Robert F. Kennedy Chair in Latin American Studies at Harvard University. 

Republic became one of America's most successful banks.  Through merchandise promotions and acquisitions, it became a leading retail bank with more than one million accounts, while simultaneously developing the world's leading gold trading business.  In 1999, Republic and its European affiliate, Safra Republic Holdings, SA, were sold to HSBC, PLC for approximately $10 billion. 

Shortly before his tragic death in 1999, Mr. Safra formed the Edmund J. Safra Philanthropic Foundation, to carry forward his philanthropic mission.  His foundation, with the guidance and support of his wife, Lily, has honored his memory in many ways: by creating The Edmond J. Safra Hall at The Museum of Jewish Heritage; The Edmond J.  Safra campus of Hebrew University in Israel; The Edmond J.  Safra Fountain Court at Somerset House in London; The Edmond J.  Safra Synagogue in St.  Petersburg, Russia; and The Edmond J.  Safra Fellows in Ethics at Harvard University. ",Manhattan,Street,1061308800000.0,Gerson,between West Street and the Museum of Jewish Heritage    ,Edmond J. Safra Place	,First Place	,10004.0,1284.0,Int. No. 342-A		,,"40.70615015400008,-74.017866387|40.705814660000044,-74.01703639199991"
"Pecola Rodriguez (November 28, 1916 – July 26, 2014) worked as a staff nurse in Detroit and later moved to Brooklyn where she worked at Sydenham Hospital in Harlem from 1949 until 1958.  He also worked at Cumberland Hospital in Brooklyn as a Hospital Administrator from 1958 until her retirement in 1982.  She was a lifetime member of the New York State Nurses Association.  She joined the Cornerstone Baptist Church in the late 1940s and became the first President of the Business and Professional Women’s Group where she was instrumental in bringing the Ramp Project and the Wheels for Christ Project to fruition and received their special recognition award in 2004.  She was the president of the Paerdegat Park Block Association and actively served on the Park and Library committees for CB17 and received numerous honors and awards including Soror of the Year from the Omicron Chapter of the Chi Eta Phi Sorority and the Paerdegat Park Committee Community Service Award.  She contributed twenty-seven years to the success of the National Grady Nurses Conclave as the public relations coordinator.  She designed the medal for the Ludie Andrews Distinguished Service Award.  Ludie Andrews was the organizer and director of the Training School for Colored Nurses at Grady Hospital in Georgia.                                                               Nicholas Rodriguez (September 10, 1906 – July 20, 1995) was born in Panama where, as a teenager, he organized the first Jazz Group in Panama and later was among the first wave of Cuban immigrants to become heavily involved in American jazz.  He came to New York in 1928 and began playing with Louis Armstrong, Benny Carter, Chick Webb, Cab Calloway and Don Redmond.  He appeared at leading supper clubs and theaters in the United States, the Philippines and several East African cities and recorded for several well-known recording companies of his time. ",Brooklyn,Street,1437580800000.0,Williams, Between Foster Avenue and Farragut Road ,Pecola and Nicholas Rodriguez Way , East 40th Street  ,11203.0,1285.0,Int. No. 620		,,"40.639136706,-73.93871105899994|40.636954795000094,-73.93847502399994"
"Salvatore “Buddy” Scotto was a U.S. Army Korean War Veteran and was known as the unofficial “Mayor of Carroll Gardens”. He was the second generation owner and funeral director of Scotto Funeral Home in Carroll Gardens, which also served as a meeting place for many community organizations for many years. He was a founder and activist in several civic organizations like the Carroll Gardens Association, Gowanus Canal Community Development Corporation, Independent Neighborhood Democrats, and the Gowanus Canal Community Advisory Group. He was also a board member in several community groups like Eileen Dugan Senior Center, Sacred Hearts-St. Stephen’s Parish, and St. Mary Star of the Sea Church on Court Street, and worked with and was recognized by all levels of government from City Council to Congress. He prioritized his community and is accredited with popularizing the name of “Carroll Gardens” as well as starting the political careers of many individuals like Joan Millman and the Hon. Michael Pesce. ",Brooklyn,Street,1657987200000.0,Koslowitz,At the South East Corner of 1st Place and Court Street from Court Street to Smith Street ,Salvatore “Buddy” Scotto Way ,,11231.0,1286.0,Int. No. 2477,,"40.68029991000002,-73.99680949499998|40.679858514000024,-73.99522967399993"
"The following material was supplied by the Hayes family.  

Arthur Hayes was born on January 3, 1923, to Andrew and Lorena Hayes in Port Arthur, Texas. Mr. Hayes, along with his wife Lillian and his daughter Ann, was a long time resident of the East Elmhurst area. He was an active member of Community Board #3, President of the East Elmhurst-Corona Civic Association, Inc., First Vice-President of the Jackson Heights Development Corporation, a Board Member of the Jerome Hardeman Day Care Center and Worshipful Master of Trinity Lodge No.51 in East Elmhurst. Mr. Hayes was also involved with many other community organizations and activities. 

As President of the East Elmhurst-Corona Civic Association, Arthur Hayes worked diligently to resolve quality of life and as a Community Board Member, Mr. Hayes served on the Transportation, Land Use and other committees, and was instrumental in obtaining approval to make 32nd Avenue a one-way street because of the heavy traffic. As a member of the Transportation Committee, Mr. Hayes attended numerous meetings with the Port of Authority of New York and New Jersey regarding the AGT Monorail, the “Flyover Project” at LaGuardia Airport, and other safety issues at the airport due to its close proximity to the East Elmhurst community. He was also involved in environmental issues such as the dredging and clean-up of Flushing Bay. 

Arthur Hayes was the recipient of numerous awards for his community service. He received the Elmcor Youth and Adult Activities, Inc. “Hall of Fame Award” in 1981; was an honoree of the Key Women of America, Inc. Concourse Village Branch, in 1989; was an honoree of the North Shore National Association of Negro Business and Professional Women in 1991; was honored by the Black American Heritage Foundation in 1994; received the Corona Congressional Church’s “Community Service Award” in 1994; was honored by the Jackson Heights Community Development Corporation in 1995; and, was a 115th Police Precinct Community Service Honoree in 1996. Mr. Hayes received Citations of Honor from Queens Borough President Claire Shulman and the New York City Council in 1995. 

Arthur Hayes died on April 1, 1997. He was survived by his wife, Lillian, a daughter, Ann, and a sister, Myrtle Stuckey. In recognition of his many years of community service, it is fitting that 32nd Avenue, between 103rd Street and 104th Street, which he helped to make a one-way thoroughfare, be named “Arthur Hayes Way” in his honor. ",Queens,Street,998496000000.0,"Marshall, Koslowitz and Sabini; also, Council Members O’Donovan and Povman ",between 103rd Street and 104th Street,Arthur Hayes Way,32nd Avenue,11369.0,1287.0,Int. No. 990,,"40.75949457800005,-73.86592617499993|40.759583232000075,-73.86505811499991"
"Bishop Roberts, Sr. immigrated to the United States and settled in Harlem, New York, where he worked as an elevator operator in a commercial building. He became a member of the Holy Cross Cathedral Orthodox Church and at night pursued a degree in theological studies. He later became a postulant in the Endich Theological Seminary under the tutelage of his Eminence Georg Alexander McGuire. Upon completion of his theological training, he was admitted to the Holy Orders as a Bishop. Bishop Roberts was drawn to organizations that advocated for black self-determination and racial equality and joined the Jamaican-born Marcus Garvey's Universal Negro Improvement Association (UNIA). The first branch of the UNIA in the U.S. was founded in New York in 1917, with the aims of repatriation, promoting racial pride, and the need to develop more independent African states. Bishop Roberts was committed to the spiritual well-being of his Harlem community, which included Caribbean immigrants and African- American migrants from the southern states. Inspired to establish a community-based church, St. Thomas Liberal Catholic Church was established on December 21, 1926 in the village of Harlem. Under the leadership of Bishop James P. Roberts, Sr., the church grew quickly and had to be relocated several times to accommodate its growth. Ultimately, a permanent structure was purchased at 147 West 144th Street in Harlem. Bishop Roberts was truly a spiritual pioneer in Harlem. Today, his son James P. Roberts Jr., serves as the church's bishop. In 1934, Bishop Roberts established The Antigua Progressive Society to provide charitable assistance to his beloved Harlem community and the island of Antigua. The objective was to ""foster friendship, promote and cultivate social, economic, and intellectual intercourse among its members, along with supporters to render aid in time of need, sickness, or death."" The Society was incorporated in 1935 in New York State with an overarching mission to be ""a beacon of light to all."" The Antigua Progressive Society later merged with another organization and renamed themselves the Antigua and Barbuda Progressive Society (ABPS). In 1964, the ABPS purchased a building located at 12 West 122nd Street in the village of Harlem which became its headquarters. That building is fondly referred to as the ""Antigua and Barbuda House."" ABPS continues to operate from this building eighty-five years after its founding in one of Harlem's Historical districts at 122nd Street and Lenox Avenue. Today, the Antigua and Barbuda Progressive Society, Inc. is a 50l(c) (3) organization exclusively supporting charitable, religious and educational purposes. In 2012, the society donated the first 50 years of its records to the Manuscripts, Archives, and Rare Books Division at the Schomburg Center for Research in Black Culture. The following year, a public exhibit at the Schomburg Center titled ""A Lighthouse in New York,"" show cased the records and accomplishments of ABPS. The ABPS continues the legacy of Bishop James P, Roberts, Sr., by actively engaging in the Harlem community. Among the activities, ABPS has adopted the Drew Family Day Care Center in Harlem where our annual ""Holiday Toy Drive"" brings joy to the children and the families of the center. ABPS also supported the Shades of Truth Theater. We have partnered with the local churches such as: Ephesus Seventh-Day Adventist Church, Greater Calvary Baptist Church and the Beulah Wesleyan Methodist Church. We also support women's homeless shelter, organize local book drives for children to promote literacy, serve Thanksgiving Dinner, as well as provide ""take out"" dinners at our headquarters. In our homeland of Antigua & Barbuda, we host an annual blood drive at Mount Saint John Medical Centre in Antigua. The APBS has a strong connection with the local Harlem community and actively helps to foster transnational connections with communities back in Antigua. More importantly, the society has been able to successfully engage younger members and encourage their participation within the society, which has ultimately led to the growth of its membership.",Manhattan,Street,1657987200000.0,Perkins,Between Malcolm X Boulevard and Mount Morris Park West ,"Bishop James P. Roberts, Sr. Way ",West 122nd Street ,10027.0,1288.0,Int. No. 2477,,"40.80580210600004,-73.94677370099997|40.80519118500006,-73.94533262299998"
"Le Ron A. Wilson became a resident of Springfield Gardens when he immigrated to the United States at the age of eleven.  After graduating Thomas Edison High School, he enlisted in the United States Army and was assigned to Fort Stewart, Georgia.  He was deployed to Iraq where he was killed on July 6, 2007, when an IED exploded near his vehicle.  ",Queens,Street,1249228800000.0,"Sanders, Jr. ",Between Farmers Boulevard and Arthur Street ,PFC Le Ron A. Wilson Way ,145th Avenue ,11413.0,1289.0,Int. No. 1033,,"40.66628148800003,-73.76719236999995|40.664570449000074,-73.76021057999999"
"Int. No. 235 permanently changes the name of Court Square between Thomson Avenue and the Sunnyside Rail Yards to Court Square East and Court Square between Jackson Avenue and the Sunnyside Rail Yards to Court Square West in the borough of Queens, and amends the New York City Map accordingly.  Int. No. 235 would lessen potential confusion for emergency personnel in responding to incidents in the area. ",Queens,Street,1437667200000.0,Van Bramer ,Between Thomson Avenue and the Sunnyside Rail Yards , Court Square East  , Court Square   ,11101.0,1290.0,Int. No. 235,,"40.745216475000035,-73.94203586499998|40.74630160400006,-73.94277615499989"
"The following biography was provided by “Spectrum: Home and School Magazine.” 

Harriet Tubman was born Harriet Ross in Dorchester County, Maryland in 1820. Her parents were from the Ashanti tribe of West Africa, and they worked as slaves on the Brodas plantation. In addition to producing lumber, Edward Brodas raised slaves to rent and sell. Life was difficult on the plantation, and Harriet was hired out as a laborer by the age of 5.  
Harriet did not like to work indoors, and she was routinely beaten by her masters. By her early teens, Harriet was no longer allowed to work indoors and was hired out as a field hand. She was a hard worker but considered defiant and rebellious. When she was 15 years old, Harriet tried to help a runaway slave. The overseer hit her in the head with a lead weight, which put Harriet in a coma. It took months for her to recover, and for the rest of her life, Harriet suffered from blackouts.  

In 1844, Harriet married a free black man named John Tubman. Harriet remained a slave, but she was able to stay in Tubman's cabin at night. Although she was married, Harriet lived in fear of being shipped to the deep South, a virtual death sentence for any slave. In 1849, her fears were realized when the owner of the Brodas plantation died and many of the slaves were scheduled to be sold. After hearing of her fate, Harriet planned to escape that very night. She knew her husband would expose her, so the only person she informed was her sister.  
 

Harriet made the 90 mile trip to the Mason-Dixon line with the help of contacts along the Underground Railroad. She had to hike through swamps and woodland. Harriet's trip was successful, and she settled in Philadelphia. She worked as a dishwasher and made plans to rescue her family. The next year, Harriet traveled back to Maryland and rescued her sister's family. She then returned to transport her brothers to the North. She went back for her husband, but he had remarried and did not want to follow her. In 1857, Harriet finally returned for her parents and settled them in Auburn, New York.  

By this time, Harriet was becoming quite well known and huge rewards were offered for her capture. Harriet was the master of disguise. A former master did not even recognize her when they ran into each other on the street. She was nicknamed the ""Moses of her people"" for leading them to freedom. In all, Harriet made 19 trips on the Underground Railroad and freed more than 300 slaves.  

With the arrival of the Civil War, Harriet became a spy for the Union army. She later worked in Washington DC as a government nurse. Although Harriet won admiration from the military, she did not receive a government pension for more than 30 years. At the end of the war, Harriet returned to her parents in Auburn. She was extremely poor and the profits of a book by Sarah Bradford entitled “Scenes in the Life of Harriet Tubman”, published in 1869 were a great financial help.  

In 1870, Harriet married Nelson Davis, who she had met at a South Carolina army base. They were happily married for 18 years until Davis' death. In 1896, Harriet purchased land to build a home for sick and needy blacks. However, she was unable to raise enough money to build the house and ultimately gave the land to the African Methodist Episcopal Zion Church. The church completed the home in 1908, and Harriet moved there several years later. She spent her last years in the home telling stories of her life to visitors. On March 10, 1913, Harriet died of pneumonia. She was 93 years old.  

Harriet Tubman was not afraid to fight for the rights of African-Americans. Her story is one of dedication and inspiration. During her lifetime Harriet was honored by many people. In 1897, her bravery even inspired Queen Victoria to award her a silver medal.  ",Manhattan,Street,1030032000000.0," Perkins, Lopez, Comrie, Davis, Foster, Koppell, Stewart, Weprin, Brewer and Barron also Council Members Baez, Gioia, Nelson, Vann, and Clarke","the portions of Frederick Douglass Boulevard and St. Nicholas Avenue, extending from West 120th Street to West 122nd Street",Harriet Tubman Square,,10027.0,1291.0,Int. No. 22,,"40.8084382490001,-73.95303907799999|40.8082241590001,-73.95250995199994|40.807740849,-73.95285128799995|40.806673831000026,-73.95277085699998|40.80699686100007,-73.95356921199996|40.80773787100006,-73.95298628399995|40.8084382490001,-73.95303907799999"
"Madam C.J. Walker was an African-American businesswoman, hair care entrepreneur and philanthropist.  She developed and marketed a successful line of beauty and hair care products and founded the Madam C.J. Walker Manufacturing Company.  Her business success led her to undertake public speaking engagements designed to assist other African-American women to build their own businesses.  She also began to donate money to the NAACP, the YMCA, as well as, black schools, organizations, orphanages and retirement homes.  Madam Walker has been listed on Molefi Kete Asante’s list of 100 greatest African Americans, was inducted into the Junior Achievement U.S. Business Hall of Fame, the National Women’s Hall of Fame, the National Cosmetology Hall of Fame and the National Direct Sales Hall of Fame.  In addition, as part of its Black Heritage Series, United States Postal Service issued a Madam C.J. Walker Commemorative stamp.   

 

A’Lelia Walker, daughter of Madam C.J. Walker, inspired many singers, poets and sculptors of the Harlem Renaissance.  She hosted many artists, writers, musicians and actors of the Harlem Renaissance at the Dark Tower, a converted floor of her 136th Street townhouse near Lenox Avenue.   ",Manhattan,Street,1262365200000.0,Dickens,Between Adam Clayton Powell Jr. Boulevard and Lenox Avenue,Madam C.J. & A’Lelia Walker Place,136th Street ,10037.0,1292.0, Int. No. 428-A,,"40.81589794900003,-73.94301511099997|40.81487485500005,-73.94055284299994"
"Bishop C. Asapansa-Johnson was the pastor of Bethel Community Church and former president of the Interdenominational Ministers Meeting of Greater New York.  He was former pastor of the Allen Memorial Church (African Methodist Episcopal) in Brooklyn.  He was later appointed by Mayor William O’Dwyer to the Mayor’s Committee on Unity.  In 1964, he was consecrated a bishop of the North America Old Roman Catholic Church in Chicago.  He was also the first African-American chaplain of the New York City Fire Department.    ",Staten Island,Street,1262365200000.0,Rose,Between Hannah Street and Victory Boulevard ,Bishop C. Asapansa-Johnson Way ,Van Duzer Street ,10301.0,1293.0, Int. No. 428-A,,"40.638016639000085,-74.07795377699993|40.637564787000024,-74.0778505119999|40.63574920400004,-74.07692112699992"
"Wendell Solomon Gabriel O’Brien was born in Port of Spain, Trinidad and Tobago, West Indies, where he spent his formative years. In 1999, he relocated his family, from Starrett City, Brooklyn to their new home in Rosedale. He was later greeted by the late Oswald Grannum, president of the 148th Drive & Community Block Association, Inc. and encouraged to join with his family. His wife became the Secretary, and he was the representative at the 105th precinct meetings. In 2001, he joined the New York City Fire Department where he served as an Emergency Medical Technician, a union delegate, and a counselor. During his career, he received numerous commendations for bravery from the New York City Fire Department, the office of the mayor and many civic organizations, including recognition by the New York Post in 2003, for saving the life of a neighbor’s child, in addition to preventing a suicidal woman from throwing herself into the East River in 2005. After his death, the New York City Fire Department honored him at a Memorial Celebration co-hosted by the New York Liberty Women’s Basketball Team at Madison Square Garden on Friday, June 26, 2009, where he received a Proclamation from then-Assemblymember Michele Titus.",Queens,Street,1688313600000.0,Brooks-Powers,Between 241st Street and Edgewood Street,Wendell S. G. O’Brien Way,148th Road,11422.0,1294.0,Int. No. 897  ,,"40.653998022000025,-73.74323290499994|40.653998022000025,-73.74107700499995"
"Marguerite “Marge” Jeffries was born on January 21, 1934.  Marge Jeffries was a longtime community activist on in Bronx Community Board No.  10.  She served as a member of the Community Board for 13 years, being elected as the Chair of the Parks Committee and Treasurer on a number of occasions.  She was also a member of a number of different community groups and was active in a host of community projects and issues. 

In addition, she served as the President of the 45th Precinct Community Council for 20 years, from 1976-1996.  In that position, she worked aggressively to bring the community and police together during some very difficult times.  Marge Jeffries passed away on January 17, 2002.  Her two sons, Bruce and Douglas, as well as 4 grandchildren survived her. ",Bronx,Street,1061395200000.0,Provenzano,Between East Tremont Avenue and Revere Avenue,Marge Jeffries Way	,Barkley Avenue	,10465.0,1295.0,Int. No. 342-A			,,"40.8306119530001,-73.82732745000001|40.83095696500001,-73.82663305599992"
"St. Vincent’s Services was founded in Brooklyn in 1869 as an orphanage.  In the years since its founding it has expanded its mission to become a multi-service agency that has locations in all five boroughs as well as Long Island, Westchester, Orange and Sullivan Counties.  The dedication of this agency to the children and families of New York City is exemplary and the lives of many New Yorkers are better because of the agency’s work. ",Brooklyn,Street,1123257600000.0,Yassky,Between State Street and Atlantic Avenue,St. Vincent’s Way,Boerum Place,11201.0,1296.0,Int. No. 613,,"40.68921177300006,-73.99062498599996|40.68970964600006,-73.99028166399994"
"This renames Victory Boulevard to celebrate the Travis Fourth of July Parade route, America’s oldest 4th of July Parade. ",Staten Island,Street,1092585600000.0,Oddo,between Cannon Avenue and Glen Street ,Independence Way ,Victory Boulevard ,10314.0,1297.0,Int. No. 471-A,,"40.592408755000044,-74.18948708499994|40.59052513700004,-74.19274865099996"
Aracely Courtenay served as the assistant pastor in Emmanuel Church of God. She spent eight years working in property management and coordinated housing for families with low incomes. She was in charge of the Talitha Cumi Women’s Ministry. She was hit by a car while crossing the street. ,,,,,,,,,,,,
,Brooklyn,Street,1719590400000.0,Louis,Between Foster Avenue and East 26th Street,Aracely Courtenay Way,Flatbush Avenue,11210.0,1298.0,Int. No. 1278,,"40.638324673000064,-73.95338598499995|40.63718486400005,-73.95211998199999"
